ROI,Subject,Effect, LocalizerSize,EffectSize,System,Localizer,Task,Hemisphere,Type,SentType,Version,SentTask
LH_midParietal,844,N,86,0.048033,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,845,S,86,-0.419315,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,845,N,86,0.085895,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,846,S,86,0.372912,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,846,N,86,0.581582,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,847,S,86,0.548235,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,847,N,86,1.244748,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,848,S,86,-0.03903,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,848,N,86,0.002601,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,849,S,86,-0.360857,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,849,N,86,0.345839,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,850,S,86,1.430052,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,850,N,86,1.635796,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,851,S,86,-0.277658,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,851,N,86,0.069196,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,856,S,86,-0.05201,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,856,N,86,0.285872,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,864,S,86,0.820136,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,864,N,86,0.236104,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,865,S,86,0.09542,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,865,N,86,0.458137,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,866,S,86,0.168754,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_midParietal,866,N,86,0.27287,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,212,S,201,-0.217051,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,212,N,201,0.255732,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,249,S,201,1.792144,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,249,N,201,1.465242,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,338,S,201,0.618232,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,338,N,201,0.5823,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,365,S,201,-0.255447,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,365,N,201,0.724732,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,382,S,201,-0.296535,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,382,N,201,-0.166184,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,426,S,201,0.053578,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,426,N,201,1.249134,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,553,S,201,0.687716,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,553,N,201,1.262611,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,584,S,201,0.548444,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,584,N,201,0.713054,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,602,S,201,0.444372,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,602,N,201,0.376427,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,604,S,201,0.890437,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,604,N,201,1.262366,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,605,S,201,0.461402,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,605,N,201,1.099048,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,606,S,201,0.237764,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,606,N,201,0.217515,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,673,S,201,-0.274905,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,673,N,201,0.063177,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,674,S,201,-0.267069,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,674,N,201,0.126377,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,680,S,201,0.678124,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,680,N,201,0.968617,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,705,S,201,0.188589,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,705,N,201,0.42418,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,707,S,201,0.110293,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,707,N,201,0.759613,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,712,S,201,-1.088672,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,712,N,201,-0.508188,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,714,S,201,-0.068834,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,714,N,201,0.081737,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,716,S,201,0.948457,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,716,N,201,0.374897,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,717,S,201,0.685135,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,717,N,201,0.565975,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,718,S,201,0.879542,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,718,N,201,0.675673,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,720,S,201,0.776605,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,720,N,201,0.830095,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,724,S,201,-0.165409,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,724,N,201,-0.00322,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,820,S,201,0.202042,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,820,N,201,0.395012,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,837,S,201,-0.120642,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,837,N,201,0.330265,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,838,S,201,0.941928,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,838,N,201,1.516833,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,839,S,201,0.111019,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,839,N,201,0.526069,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,840,S,201,0.47862,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,840,N,201,0.461272,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,841,S,201,-0.018608,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,841,N,201,0.290294,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,842,S,201,0.176921,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
LH_antParietal,842,N,201,0.405374,MD,MD,ButtonPress,LH,OneSentence,OneSentence,V1,ButtonPress
